AsBuilt_Name,Pages,Pipe_type
Main St East 617 Railroad DCTA - Old Town Station,153,['Unknown' 'Good' 'Bad']
Main St West 1026 Raising Canes Store #83 2122-11,22,['Unknown' 'Good' 'Bad']
Main St West 1098 Lewisville High School Addition & Renovation Building 2111-10,98,['Unknown' 'Bad' 'Good']
Main St West 1098 Lewisville High School Fine Arts 2022-07,13,['Unknown' 'Good' 'Bad']
Main St West 1098 Lewisville High School Renovations 2654,4,['Unknown' 'Good']
Main St West 1099 CVS_Pharmacy No,1,['Good' 'Bad']
Main St West 1100 Main Valley Shopping Center 2687,2,['Unknown']
Main St West 1280 1288 Old Orchard Village East Kroger Grocery 2715,14,['Unknown' 'Good']
Main St West 1288 Walmart Addition 2753,18,['Unknown' 'Good' 'Bad']
Main St West 1288 Winco Foods 2218-14,21,['Unknown' 'Good']
Main St West 1298 Mobil Oil 2567,4,['Good' 'Bad']
Main St West 1302 Seven Eleven 2782,1,['Unknown']
Main St West 1326 1382 Old Orchard Village West Shopping Center Tom Thumb 2716,25,['Unknown' 'Good' 'Bad']
Main St West 1394 Quick Wok 2642,4,['Unknown' 'Good']
Main St West 1398 Triangle Bowling 2723,1,['Unknown']
Main St West 1502 Kentucky Fried Chicken 2730,3,['Unknown' 'Good']
Main St West 1510 Arby's 2732,14,['Unknown' 'Good']
Main St West 1559 CareNow - Lewisville 2206-14,17,['Unknown' 'Good' 'Bad']
Main St West 1563 Jack In The Box 2646,2,['Unknown']
Main St West 1567 Pizza Hut 2531,3,['Good' 'Unknown']
Main St West 1569 Garden Park Theatre 2649,6,['Unknown' 'Good' 'Bad']
Main St West 1569 Life Changers Church 2192-13,12,['Unknown' 'Good' 'Bad']
Main St West 1585 Aldi 2148-12,34,['Unknown' 'Good' 'Bad']
Main St West 1596 Blockbuster Video 2745,2,['Good' 'Unknown']
Main St West 1597 Texaco 2671,1,['Bad']
Main St West 1598 McDonald's 2599,20,['Unknown' 'Good']
Main St West 314 Aspen Health Care 2143-12,4,['Unknown']
Main St West 363 Means Addition 2608,1,['Good']
Main St West 376 Dr,1,['Unknown']
Main St West 500 Medical Center of Lewisville ED Expansion 2224 -14,3,['Unknown']
Main St West 726 Wendy's 2648,4,['Unknown']
Main St West 825 Dairy Queen 2175-13,12,['Unknown']
Main St West 930 Safeco Title 2508,3,['Good' 'Unknown']
Main St West 951  Excel Dental 2141-12,19,['Unknown' 'Bad' 'Good']
Main St West 998 Lewisville High School Locker Room 2092-10,28,['Unknown' 'Good']
McDonnell St 344 Pierson Warehouse 2553,1,['Unknown']
McDonnell St 350 ACT Construction Expansion 2289-16,18,['Unknown' 'Good' 'Bad']
McDonnell St 350 Lamb Addition 2604,2,['Good']
McGee Ln 1645 Titan Operating Prologis Lease Site 2116-10,12,['Unknown' 'Good']
McKenzie St 416 Macedonia Ministries Gymnasium 2229-14,9,['Unknown']
McKenzie St 579 Bulloch Fabricating 2565,1,['Unknown']
McKenzie St 579 McKenzie Hembry Addition 2512,1,['Unknown']
Meadow Glen Addition - Phase 1 2128,19,['Unknown' 'Good']
Meadow Glen Addition Section 2 2129,32,['Unknown' 'Good' 'Bad']
Meadow Glen Addition Section 2-A 2130,19,['Unknown' 'Good' 'Bad']
Meadow Lake - Phase 3 Section 1 2022,14,['Unknown' 'Good']
Meadow Lake 4 Section 1 2023,16,['Unknown' 'Good' 'Bad']
Meadow Lake No,1,['Good' 'Bad']
Metro Park Blvd,1,['Good']
Midway Rd 1740 Ratliff Midway Office Development 2052-09,9,['Unknown' 'Good']
Midway Rd 1836 Metro Auto Auction - Dallas 2129,48,['Unknown' 'Good' 'Bad']
Midway Rd 1836 Metro Auto Auction Expansion 2210-14,28,['Unknown' 'Good' 'Bad']
Midway Rd 1836 Metro Auto Auction Expansion II 2321-17,15,['Unknown' 'Bad' 'Good']
Midway Rd 1890 C & W Plumbing 2127,4,['Unknown' 'Bad' 'Good']
Midway Rd 1901 Coyote Theater - 2282-15,47,['Unknown' 'Good' 'Bad']
Mill St North 125  Bridal Boutique 2227-14,11,['Unknown']
Mill St North 1901 Lake Park Garden Apartments 2630,4,['Unknown' 'Good']
Mill St North 1981 Northview Baptist Church Parking Expansion 2195-13,11,['Unknown']
Mill St North 200 Office Building 2748,1,['Unknown']
Mill St North 2351 Stella's Moble Home Park 2771,3,['Unknown']
Mill St North 324 Porters 2515,1,['Good']
Mill St North 422 Catfish King 2765,2,['Unknown' 'Good']
Mill St North 890 Mill Park 2521,1,['Good']
Mill St North 894 Prairie Mill Industrial Park,10,['Unknown' 'Good']
Mill St North 894 Prairie Mill Industrial Park 2550,1,['Unknown']
Mill St North 896 J,1,['Unknown']
Mill St North 902 Builders FirstSource 2325-17,16,['Unknown' 'Bad' 'Good']
Mill St North 905 Town & Country Food Store 2551,1,['Unknown']
Mill St North 911-921 Landsource 2 2522,1,['Good']
Mill St North 911-921 Landsource 2 2544,1,['Good']
Mill St South 127 Lewisville Lumber 2769,6,['Unknown']
Mill St South 200 Lewisville Shopping Center CCA 2714,5,['Unknown']
Mill St South 201 LSC Addition Shopping Center 2681,1,['Unknown']
Mill St South 211 Commercial Bank Of Texas 2245-15,7,['Unknown']
Mill St South 817 Dubberly Plaza 2514,1,['Unknown']
Mill St South 896 AirGas USA 2174-13,4,['Unknown' 'Good' 'Bad']
Mill St South 900 Payless Cashways 2554,5,['Unknown']
Mill St South 903 Old Town Auto Sales 2575,1,['Good']
Mill St South 906 Mill Street Auto Service_Retail 2103-10,25,['Unknown' 'Bad' 'Good']
Morningside Ave 1357 Greer Addition 2704,1,['Unknown']
Northfork Cir 885 Raymer Book Bindery 2755,1,['Unknown']
Oak Creek Estates 2086,14,['Unknown']
Oak Knoll Cir 200 Post Oak Apartments 2625,23,['Unknown' 'Good']
Oakbend Drive 2603,2,['Unknown' 'Bad']
Oakbrook on the Lake 2048,9,['Unknown']
Oakridge Blvd 400-402 Callmark Addition 2311-16,10,['Unknown' 'Bad']
Oakridge Dr 375 Rad Sports Group 2034-08,11,['Unknown' 'Bad' 'Good']
Oakridge Park Estates No,1,['Unknown']
Oakridge Park Estates Section 3 2054,4,['Good' 'Unknown']
Oakridge Park Estates Section D 2050,5,['Unknown' 'Good']
Oakridge Park Estates Section E 2051,5,['Unknown' 'Good']
Oakridge Park Estates Section F 2052,5,['Good' 'Unknown']
Oakridge Park Estates Section G 2049,9,['Unknown' 'Good']
Oakwood Ln 223 Peppermint Daycare 2729,2,['Unknown']
Office Park Cir 809 Japa Holdings 2000-07,8,['Unknown' 'Good' 'Bad']
Office Park Cir 810 Office-Showroom 2756,4,['Good' 'Unknown']
Old Orchard Ln North 165 Arbor Valley Apartments 2615,14,['Unknown' 'Good' 'Bad']
Old Orchard Ln South 1301 Old Orchard Baptist Church 2635,1,['Unknown']
Old Orchard Ln South 1595 Oaktree Apartments 2621,5,['Unknown']
Old Orchard Ln South 502 Park Lane Village 2563,1,['Unknown']
Old Orchard Ln South 602 Church of the Annunciation 2750,2,['Unknown']
Old Orchard Ln South 797 Old Orchard Apartments 2612,8,['Unknown']
Orchard Hill Addition 2099,25,['Unknown' 'Good']
Palisades Drive Lift Station 2017-08,8,['Unknown']
Park Lane Addition 2085,30,['Unknown' 'Bad' 'Good']
Park Place 2758,10,['Unknown' 'Good']
Parklane Townhomes 2084,12,['Unknown']
Perry St 383 Office Of Alphonsine Ugochukwu 2128-11,10,['Unknown' 'Good']
Pinnell Subdivision - Phase 4 2542,4,['Unknown' 'Good']
Pinnell Subdivision 2541,1,['Good']
Plano Parkway 3561 Taco Bell 2288-16,20,['Unknown' 'Good' 'Bad']
Plano Pkwy 3451 Orthofix 2079-09,32,['Unknown' 'Good' 'Bad']
Plano Pkwy 3521 Jimmy John's Lewisville 2290-16,16,['Unknown' 'Bad' 'Good']
Plano Pkwy 3541 Andy's Frozen Custard 2301-16,20,['Unknown' 'Good']
Plano Pkwy 3581 7 Eleven Plano Parkway & Tittle Drive 2277-15,13,['Unknown']
Prairie Creek - Phase 4 2764,12,['Unknown' 'Good']
Prairie Creek Addition 2768,3,['Unknown']
Princeton 1076 Denco 911 Annex 2340-17,24,['Unknown' 'Good']
Princeton St 1075 Denco 911 Expansion 2088-09,22,['Unknown' 'Good' 'Bad']
Princeton St 1075 Denco 911 Water Improvements 2135-11,1,['Unknown']
Purnell St 601 Transportation & Warehouse Complex LISD 2772,1,['Good']
Purnell St East 450 Bulloch Fabricating Building Expansion 2025-07,16,['Unknown' 'Good' 'Bad']
Purnell St East 450 Bulloch Fabricating Lot 2 Grading 2031-07,5,['Unknown' 'Good']
Purnell St East 496 Purnell Properties 2537,3,['Good' 'Unknown' 'Bad']
Purnell St East 535 Purnell Office Building 2517,1,['Unknown']
Purnell St East 588 Campers 4 Rent 2268-15,10,['Unknown']
Quailcrest Addition 2087,17,['Unknown']
Railroad St South 1225 Western Concrete 2679,1,['Good']
Railroad St South 1229 Capform Complex 2250-15,10,['Unknown' 'Bad' 'Good']
Railroad St South 1600 DFW Parking Improvements & Plant Expansion 2055-08,38,['Unknown' 'Good' 'Bad']
Railroad St South 1600 DFW Recylcing and Disposal Facility Floodplain Reclamation 2179-13,11,['Unknown']
Railroad St South 1600 Waste Management D_F Recycling & Disposal Facility 2075-09,34,['Unknown']
Railroad St South 400 Block Inca Metals 2774,1,['Unknown']
Railroad St South 701 A & S Manufacturing 2761,5,['Unknown']
Recreational Parking Area Garden Ridge & I-35E 2215-14,22,['Unknown' 'Bad' 'Good']
Red Bud St 645 Elta Warehouse 2083-09,13,['Unknown' 'Good' 'Bad']
Red Hawk 838 Pyramid Drywall 2145-12,7,['Unknown' 'Bad']
Replat of Settlers Village Utilities 2046-08,9,['Unknown' 'Good' 'Bad']
Replat of Settlers Village Utilities 2154-12,8,['Unknown' 'Good' 'Bad']
Rockbrook Dr 2500 Brownstones at Vista Ridge 2016-07,23,['Unknown' 'Good' 'Bad']
Rockbrook Dr 2690 Faith Town Homes 2005-07,19,['Good' 'Unknown' 'Bad']
Rockbrook Dr 2785 Rockbrook Office Condominuims 2114-10,19,['Unknown' 'Bad' 'Good']
Rolling Ridge Addition 2072,11,['Unknown' 'Good' 'Bad']
Round Grove Road Bridge 2111,23,['Unknown' 'Good' 'Bad']
S,1,['Good' 'Bad']
S Valley parkway 2555 - Valley Pkwy Distribution Center 2168-12,58,['Unknown' 'Good' 'Bad']
SH 121 2345 Banc West - Phase 1 2740,2,['Unknown']
SH 121 Bypass South 175-495 The Village Crossing 2011-07,12,['Unknown' 'Good' 'Bad']
SH 121 Bypass South 209 Genusys Office Building 2123-11,37,['Unknown' 'Good' 'Bad']
SH 121 Bypass South 211 Salons Of Volterra @ Lewisville 2213-14,11,['Unknown']
SH 121 Bypass South 755 Lake Vista Retail Center 2018-07,22,['Unknown' 'Good' 'Bad']
SH 121 Bypass South 795 Saltgrass Steakhouse 2236-14,13,['Unknown']
SH 121 East 1047 J & J Stor-All 2676,1,['Unknown']
SH 121 East 1696 P & M Properties 2109-10,11,['Unknown' 'Good']
SH 121 East 2525 121 Lakepointe Crossing- Phase 2 2061,52,['Unknown' 'Good' 'Bad']
SH 121 East 2600 Assured Self Storage 2158-12,16,['Unknown' 'Good']
SH 121 East 2801 Flooring Services 2209-14,112,['Unknown' 'Good' 'Bad']
SH 121 East 380 Northwood Retail Shopping Center 2012-07,30,['Bad' 'Unknown']
SH 121 East 402 Northwood Mobile Home Park 2787,96,['Unknown' 'Bad' 'Good']
SH 121 East 4730 Comerica Bank 2087-09,17,['Unknown' 'Bad']
SH 121 East 4800 Best Buy Office Depot Public Improvements 2209-11,34,['Unknown' 'Bad' 'Good']
SH 121 East 4854-4866 24 Hour Fitness 2073-09,46,['Unknown' 'Bad' 'Good']
SH 121 East 498 National Indoor Storage - Sales Lot 2176-13,22,['Unknown']
SH 121 East 498 National Indoor Storage 2059-08,21,['Unknown' 'Good' 'Bad']
SH 121 East 521 Racetrac 121 2717,21,['Unknown' 'Good' 'Bad']
SH 121 East 542 Good Luck Rodeo Cadillac Club 2678,1,['Unknown']
SH 121 East 640 DCTA Maintenace Facility Drainage Channel 2264-15,12,['Unknown']
SH 121 East 640 DCTA Maintenance Facility 2106-10,157,['Unknown' 'Good' 'Bad']
SH 121 East 650 Zander Place - Phase 2 2241-15,18,['Unknown' 'Bad' 'Good']
SH 121 East 650 Zander Place 2004-07,21,['Unknown' 'Good' 'Bad']
SH 121 East 690 Lewisville Mini-Warehouse 2592,2,['Good' 'Unknown']
SH 121 East 801  Bus Quik Trip #928 2112-10,62,['Unknown' 'Good' 'Bad']
SH 121 East 808 Waite Plumbing 2677,1,['Unknown']
SH 121 East 816 One Twenty One Plaza 2791,10,['Unknown' 'Good']
SH 121 East 825 Premier Prospects 2157-12,9,['Unknown' 'Good']
SH 121 East 901 Pattern Concrete 2647A,5,['Unknown']
SH 121 East 901 Pattern Concrete 2647B,2,['Unknown']
SH 121 East 985  Prestige Office_Warehouse - Phase 1 2284-16,20,['Unknown' 'Bad' 'Good']
SH 121 East 985 Elm Fork Trunk Sewer-Phase 3 and Prestige Office_Warehouse Sanitary Sewer Lines 2279-15,7,['Unknown' 'Good']
SH 121 East 999 BK Drilling Office Building 2010-07,9,['Unknown' 'Good' 'Bad']
SH 121 East Thomson Addition Grading - Lot 2 Block A 2152-12,4,['Unknown']
SH 121 Lovich Nursery 2763,2,['Unknown']
SH 121 South 1233 Taco Bell 2108-10,22,['Unknown' 'Bad' 'Good']
SH 121 South 1235 Miller Plaza Shopping Center 2708,5,['Unknown']
SH 121 South 1301 Gulf First Addition 2555,2,['Unknown']
SH 121 South 1305 Bellaire Plaza 2588,1,['Unknown']
SH 121 South 1309 Firestone 2594,1,['Unknown']
SH 121 South 1313 Burger King 2601,6,['Unknown' 'Good']
SH 121 South 1408 Skateland Addition 2773,2,['Unknown']
SH 121 South 1500 Soccer City 2240-15,11,['Unknown' 'Good' 'Bad']
SH 121 South 1530 Aero Hobbies 2139-11,20,['Unknown' 'Good' 'Bad']
SH 121 South 1530 Jim Bridges Sports Center 2675,1,['Unknown']
SH 121 South 1602 Kentucky Fried Chicken 2547,1,['Unknown']
SH 121 South 1602 Kentucky Fried Chicken 2580,4,['Unknown' 'Good']
SH 121 South 1679 Timber Creek Apartments 2618,14,['Good' 'Bad' 'Unknown']
SH 121 South 1680 K-Bob's Steak House 2546,2,['Unknown']
SH 121 South 1700 Diamond Shamrock 2656,3,['Unknown']
SH 121 South 1702 Ambassador Business Park 2639,4,['Good' 'Unknown']
SH 121 South 1902 Park Timbers Apartments - Phases 1 & 2 2613,12,['Unknown' 'Good' 'Bad']
SH 121 South 1955 Continental Retail Center 2066-10,12,['Unknown' 'Good' 'Bad']
SH 121 South 2305 Timber Valley Shopping Center 2534,3,['Good' 'Unknown']
SH 121 South 2501 Convergence Office Center - Phase 1A On Site 2032-08,38,['Unknown' 'Bad' 'Good']
SH 121 South 2501 Convergence Office Center - Phase 2A On Site 2032-08,32,['Unknown' 'Good' 'Bad']
SH 121 South 2501 Convergence Office Center - Phase 2B On Site 2086-09,19,['Unknown']
SH 121 South 2501 Convergence Office Center - Phase 3A - 2151-12,59,['Unknown' 'Bad' 'Good']
SH 121 South 2501 Convergence Office Center On-Site Improvements 2121-11,32,['Unknown' 'Good' 'Bad']
SH 121 South 2501 Texas Instruments 2597B,4,['Unknown']
Savage Dr 2103 Delay Middle School Addition_Renovation 2081-09,28,['Unknown' 'Good' 'Bad']
Savage Dr 2103 Milliken Middle School 2710-A,1,['Unknown']
Savage Dr 2103 Milliken Middle School 2710-B,3,['Unknown' 'Good']
Serendipity Village 2033,17,['Unknown']
Serendipity Village No,1,['Good' 'Bad']
Settler's Village - Phase 2,29,['Unknown' 'Good' 'Bad']
Settler's Village - Phase 2 replat,7,['Unknown' 'Bad' 'Good']
Sewage Treatment Plant 701 Police and Fire Training Facility Classroom Phase 2186-13,14,['Unknown' 'Bad']
SewageTreatment Plant Rd 701Police and Fire Training Facility Expansion Architecturals,56,['Unknown' 'Bad' 'Good']
Smitty's Point 2075,3,['Unknown']
South Village Mixed Use 2304-16,26,['Unknown' 'Good' 'Bad']
Southfork Dr 420 CSI Expansion & Renovation 2726,4,['Unknown']
Southwest Pkwy East 101 Southwest Parkway Plaza 2658,4,['Unknown']
Southwest Pkwy East 247 Wellington Place 2624,6,['Unknown']
Southwest Pkwy East 248 Sunburst Apartments 2632,4,['Unknown']
Southwest Pkwy East 328 Stonecreek Apartments 2627,5,['Unknown']
Southwest Pkwy East 396 Arbor Creek 1 and 2 -  2614,15,['Unknown']
Southwest Pkwy West 109 McCutchin Car Wash 2525,1,['Unknown']
Southwest Pkwy West 201 Westview Apartments 2626,6,['Unknown']
Spinks Rd Cobb Site - Detention Pond & Drive Plan 2115-10,11,['Unknown' 'Good']
Spinks Road Utilities 2026-07,23,['Unknown' 'Good']
Summit Ave Titan Prologis Gas Pipeline 2138-11,9,['Unknown']
Sylvan Creek 2046,31,['Unknown' 'Good']
TLE_Lewisville_LP1_2015-07-07 (3),1,['Good']
Texas St 1120 Nortex Nursery 2574,1,['Unknown']
Texas St 1240 Renown Construction 2337-17,4,['Unknown']
The Highlands - Phase 2 2041,32,['Unknown']
The Highlands - Phase 3 2042,31,['Unknown' 'Good']
The Highlands - Phase 4 2043,35,['Unknown']
The Highlands - Phase 5 2044,7,['Unknown' 'Bad' 'Good']
The Highlands 2040,20,['Unknown' 'Good']
The Hills of Vista Ridge - Phase 1 2220-14,54,['Unknown' 'Good' 'Bad']
The Hills of Vista Ridge - Phase 2 2257-15,53,['Unknown' 'Good' 'Bad']
The Manors at Vista Ridge I Addition 2153-12,18,['Unknown']
The Pines 2025,10,['Unknown']
The Villas at Wellington - Phase 1 2017-08,95,['Unknown' 'Good' 'Bad']
Timber Brook Addition No,1,['Good']
Timber Creek Acres & Sanitary Sewer 2079,34,['Unknown' 'Good']
Timber Creek Crossing 2019-07,39,['Unknown' 'Good' 'Bad']
Timber Creek Square - Phase 1 2119,27,['Unknown' 'Bad' 'Good']
Timber Creek Square - Phase 2 2120,29,['Unknown' 'Bad' 'Good']
Timber Creek Square Lot 1-B Block C Sanitary Sewer 2141,5,['Good' 'Unknown']
Timber Creek Square Sanitary Sewer 2122,1,['Unknown']
Timber Creek Square Water Relocation 2121,1,['Unknown']
Timber Valley Estates - Phase 2 2125,12,['Unknown']
Timber Village Addition 2126,9,['Unknown' 'Bad' 'Good']
Timberbrook Addition No,1,['Good']
Timbercreek Estates 2080,46,['Unknown' 'Good']
Trinity Dr 861 The Apparel Group 10_ Sanitary Sewer 2003-07,6,['Unknown' 'Good']
Trinity Dr 861 The Apparel Group Grading & Fill 2003-07,14,['Unknown' 'Bad']
Trinity Dr 883 The Apparel Group Distribution Center - Phase 1 2003-07,39,['Unknown' 'Good' 'Bad']
Uecker Dr 2197 Enclave Apartments - Phase 1 2622,7,['Unknown' 'Good']
Uecker Ln 2364 Mira Vista Office Park - Phase 1 2142-12,37,['Unknown' 'Good' 'Bad']
Union Station Pkwy 875 891 Hebron 121 Station - Phase 3 2252-15,56,['Unknown' 'Good' 'Bad']
Union Station Pkwy 885 Hebron 121 Station - Phase 1 2107-10,91,['Unknown' 'Good']
Valley Parkway South 2900 Majestic Airport Center Building 5 2193-13,68,['Unknown' 'Good']
Valley Pkwy North 1402 Cambridge Village Apartments 2611,9,['Unknown' 'Good']
Valley Pkwy North 190 Denton County Lee Walker Government Center 2233-14,58,['Unknown' 'Good' 'Bad']
Valley Pkwy North 560 ABC Veterinary 2091-10,18,['Unknown' 'Good' 'Bad']
Valley Pkwy South 1598 Lewisville Plaza 2666,1,['Good']
Valley Pkwy South 2150 Childrens Lighthouse 2281-15,19,['Unknown' 'Bad' 'Good']
Valley Pkwy South 2250 Broadstone Round Grove Apartments 2183-13,50,['Unknown' 'Good' 'Bad']
Valley Pkwy South 2436 Broadstone Valley Parkway Apartments 2126-11,59,['Unknown' 'Good' 'Bad']
Valley Pkwy South 2701 2801 Majestic Airport Center Bldgs 4 & 6 2254-15,58,['Unknown' 'Bad' 'Good']
Valley Ridge & College St 2043-08,70,['Unknown' 'Good' 'Bad']
Valley Ridge 2107,24,['Unknown' 'Good']
Valley Ridge 2150,11,['Unknown' 'Bad']
Valley Ridge Blvd,1,['Good' 'Bad']
Valley Ridge Blvd West 501 Eagle Gun Range 2155-12,8,['Unknown' 'Bad']
Valley Ridge Business Center 2106,5,['Unknown']
Valley Ridge Business Park East 2109,55,['Unknown' 'Good' 'Bad']
Valley Ridge Business Park East Mass Grading 2108,2,['Unknown']
Valley Ridge Cir 712 Infinite Packaging Group Expansion 2297-16,15,['Unknown' 'Good' 'Bad']
Valley Ridge Cir 720 The Venture Corporation 2125-11,13,['Unknown' 'Good']
Valley Ridge Schedules 1 2 3 & 4 2105,125,['Unknown' 'Good' 'Bad']
Valley Square Shopping Center 2760,10,['Unknown' 'Good']
Valley View Dr 139 La Petite Academy 2530,1,['Good']
Valley View Dr 141 The Meadows 2610,4,['Unknown']
Valley View Dr 146 The Pinnacle 2628,5,['Unknown' 'Good']
Valley View Dr 901 North Field Elementary School 2707,10,['Unknown' 'Good']
Valley Vista Estates - 1 2082,66,['Unknown' 'Good']
Valley Vista Estates - 2 2081,52,['Unknown' 'Bad']
Verona Addition 2235-14,60,['Unknown' 'Good']
Vista Ridge Bridges S,1,['Good' 'Bad']
Vista Ridge Concrete Pumping Expansion - 2329-17,12,['Unknown' 'Good' 'Bad']
Vista Ridge East Area 2138,90,['Unknown' 'Good' 'Bad']
Vista Ridge Mall Dr 2747 Vinson 2058-08,20,['Unknown' 'Good' 'Bad']
Vista Ridge Mall Dr West 731 Marriott Townplace Suites 2035-08,25,['Unknown' 'Good' 'Bad']
Vista Ridge North Area 2136,148,['Unknown' 'Good' 'Bad']
Vista Ridge Offsite Sanitary Sewer Force Main 2139,15,['Unknown' 'Bad' 'Good']
Vista Ridge Pump Station Complex Sanitary Sewer Only 2139,24,['Unknown' 'Good' 'Bad']
Vista Ridge Retail 2041-08,34,['Unknown' 'Good']
Vista Ridge West Area 2137,54,['Unknown' 'Good' 'Bad']
Walters St 107 Parking Lot for 107 Walters Street 2662,1,['Unknown']
Walters St West 151 U,1,['Good' 'Bad']
Waste Management Railroad Street Public Improvements 2049-09,146,['Unknown' 'Bad' 'Good']
Water & San Sewer Extensions for Denton County Fresh Water Supply District No,1,['Good' 'Bad']
Waterline Improvements To Texas Instruments 2597,6,['Unknown']
Waters' Ridge - Phase 1 2114,93,['Unknown' 'Good']
Waters' Ridge Bridge 2110,18,['Unknown' 'Good' 'Bad']
Waters' Ridge Mass Grading Plan - Phase 1 2114,31,['Unknown']
Weatherford Addition 2127,13,['Unknown' 'Good']
Westlake Park No,1,['Good']
Westridge Park Addition Second Installment 2073,6,['Unknown']
Westwood Estates No,1,['Good' 'Bad']
Willow Grove Addition - Phase 1 2116,72,['Unknown' 'Good']
Windhaven Crossing Addition Phase A Section 1 2271-15,38,['Unknown' 'Good' 'Bad']
Windhaven Crossing Addition Phase B Section 1 2275-15,44,['Unknown' 'Bad' 'Good']
Windhaven Pkwy 2500 Amaranth at 544 2013-07,21,['Unknown' 'Bad' 'Good']
Windhaven Pkwy 2500 Discovery Stone Bridge Experience 2247-15,20,['Unknown' 'Good']
Windhaven Pkwy 2511 Cates Career & Technology Center 2080-07,49,['Unknown' 'Good' 'Bad']
Windhaven Pkwy 355 LISD Elementary School #39 2006-08,30,['Unknown' 'Good']
Wittke Iron Works Water & Sanitary Sewer 2786,5,['Unknown']
Woodland Park 2093,19,['Unknown' 'Good' 'Bad']
Working Drawings 2003,9,['Unknown']
Wyndale Meadows - Phase 2 2243-15,41,['Unknown' 'Bad' 'Good']
Wyndale Meadows Addition - Phase 1 - Landscape & Screening 2198-13B,10,['Bad' 'Unknown' 'Good']
Wyndale Meadows Phase 3A - 2299-16,25,['Unknown' 'Good' 'Bad']
WyndaleMeadows Addition - Phase 1 2198-13,58,['Unknown' 'Good' 'Bad']
Xerox Relief Channel 2115,15,['Unknown']
Yates St 1097 El Fab 2506,6,['Good' 'Unknown']
