AsBuilt_Name,Pages,Pipe_type
Crest Manor Apartments - Phase 2 2173-13,71,['Unknown' 'Good']
Crest Retail - 2366-18,23,['Unknown']
DCTA & LewisvilleTrails Construction Project 2237-15,15,['Unknown']
Deer Run 2462 Carrington Village Amenity Center 2050-08,11,['Unknown' 'Good']
Deer Run 2479 Wellington Park Apartments 2634,6,['Unknown' 'Bad' 'Good']
Degan Ave 131 Sundance Square 2516,2,['Unknown' 'Good']
Denton Creek Bridge MacArthur Blvd 2135,28,['Unknown' 'Good' 'Bad']
Denton Tap Rd,1,['Good' 'Bad']
Denton Tap Rd 2313 Mary Kay 2312-17,59,['Unknown' 'Good' 'Bad']
Denton Tap Rd 2680 Denton Tap Storage 2007-08,38,['Unknown' 'Good' 'Bad']
Denton Tap Rd 2710 Denton Tap Storage 2156-12,11,['Unknown']
Denton Tap Road 2700 The Door Church - 2308-16,24,['Unknown' 'Good' 'Bad']
Denton Tap The Preserve At Vista Ridge 2199-13,10,['Unknown' 'Good' 'Bad']
Diane Cir 1175 Family Medical Association 2754,3,['Unknown']
Duncan Duncan Pad Lateral Existing 6_ Natural Gas Pipeline 2118-11,3,['Unknown']
Eagle Point Dr 1 Eagle Point Marina 2589,5,['Unknown']
East Hill Park 2133-11,16,['Unknown' 'Bad' 'Good']
Edmonds Ln 1001 Denton Area Teachers Drive In Facility 2523,1,['Unknown']
Edmonds Ln 1002 Village West Apartments 2623,6,['Unknown']
Edmonds Ln 1010 Edmonds Center 2548,2,['Good']
Edmonds Ln 1597 Dale Jackson Career Center 2767,6,['Unknown' 'Good']
Edmonds Ln 1597 Dale Jackson Lewisville Learning Center 2069-08,8,['Unknown' 'Good']
Edmonds Ln 1687 Bellaire Baptist Church 2733,1,['Unknown']
Edmonds Ln 1716 Edmonds Retirement Center 2759,17,['Good' 'Unknown']
Edmonds Ln 1727 Church of the Nazarene 2696,1,['Unknown']
Edmonds Ln 2151 India Bazaar - 2286-16,15,['Unknown' 'Good' 'Bad']
Edmonds Ln 2670 2710 2730 Majestic Airport Center Driveway Extension 2085-09,6,['Unknown']
Edmonds Ln 2671 2710 2730 Majestic Airport Center - Phase 1B 2053-08,15,['Unknown' 'Bad']
Edmonds Ln 326 Edmonds Professional Plaza 2581,1,['Unknown']
Edmonds Ln 510 Goodyear Car Care Store 2695,2,['Unknown']
